FIPS,Census_Division
1001,East South Central
1003,East South Central
1005,East South Central
1007,East South Central
1009,East South Central
1011,East South Central
1013,East South Central
1015,East South Central
1017,East South Central
1019,East South Central
1021,East South Central
1023,East South Central
1025,East South Central
1027,East South Central
1029,East South Central
1031,East South Central
1033,East South Central
1035,East South Central
1037,East South Central
1039,East South Central
1041,East South Central
1043,East South Central
1045,East South Central
1047,East South Central
1049,East South Central
1051,East South Central
1053,East South Central
1055,East South Central
1057,East South Central
1059,East South Central
1061,East South Central
1063,East South Central
1065,East South Central
1067,East South Central
1069,East South Central
1071,East South Central
1073,East South Central
1075,East South Central
1077,East South Central
1079,East South Central
1081,East South Central
1083,East South Central
1085,East South Central
1087,East South Central
1089,East South Central
1091,East South Central
1093,East South Central
1095,East South Central
1097,East South Central
1099,East South Central
1101,East South Central
1103,East South Central
1105,East South Central
1107,East South Central
1109,East South Central
1111,East South Central
1113,East South Central
1115,East South Central
1117,East South Central
1119,East South Central
1121,East South Central
1123,East South Central
1125,East South Central
1127,East South Central
1129,East South Central
1131,East South Central
1133,East South Central
2013,Pacific
2016,Pacific
2020,Pacific
2050,Pacific
2060,Pacific
2068,Pacific
2070,Pacific
2090,Pacific
2100,Pacific
2105,Pacific
2110,Pacific
2122,Pacific
2130,Pacific
2150,Pacific
2164,Pacific
2170,Pacific
2180,Pacific
2185,Pacific
2188,Pacific
2195,Pacific
2198,Pacific
2220,Pacific
2230,Pacific
2240,Pacific
2261,Pacific
2270,Mountain
2275,Mountain
2282,Mountain
2290,Mountain
4001,Mountain
4003,Mountain
4005,Mountain
4007,Mountain
4009,Mountain
4011,Mountain
4012,Mountain
4013,Mountain
4015,Mountain
4017,Mountain
4019,Mountain
4021,West South Central
4023,West South Central
4025,West South Central
4027,West South Central
5001,West South Central
5003,West South Central
5005,West South Central
5007,West South Central
5009,West South Central
5011,West South Central
5013,West South Central
5015,West South Central
5017,West South Central
5019,West South Central
5021,West South Central
5023,West South Central
5025,West South Central
5027,West South Central
5029,West South Central
5031,West South Central
5033,West South Central
5035,West South Central
5037,West South Central
5039,West South Central
5041,West South Central
5043,West South Central
5045,West South Central
5047,West South Central
5049,West South Central
5051,West South Central
5053,West South Central
5055,West South Central
5057,West South Central
5059,West South Central
5061,West South Central
5063,West South Central
5065,West South Central
5067,West South Central
5069,West South Central
5071,West South Central
5073,West South Central
5075,West South Central
5077,West South Central
5079,West South Central
5081,West South Central
5083,West South Central
5085,West South Central
5087,West South Central
5089,West South Central
5091,West South Central
5093,West South Central
5095,West South Central
5097,West South Central
5099,West South Central
5101,West South Central
5103,West South Central
5105,West South Central
5107,West South Central
5109,West South Central
5111,West South Central
5113,West South Central
5115,West South Central
5117,West South Central
5119,West South Central
5121,West South Central
5123,West South Central
5125,West South Central
5127,West South Central
5129,West South Central
5131,West South Central
5133,West South Central
5135,West South Central
5137,West South Central
5139,West South Central
5141,Pacific
5143,Pacific
5145,Pacific
5147,Pacific
5149,Pacific
6001,Pacific
6003,Pacific
6005,Pacific
6007,Pacific
6009,Pacific
6011,Pacific
6013,Pacific
6015,Pacific
6017,Pacific
6019,Pacific
6021,Pacific
6023,Pacific
6025,Pacific
6027,Pacific
6029,Pacific
6031,Pacific
6033,Pacific
6035,Pacific
6037,Pacific
6039,Pacific
6041,Pacific
6043,Pacific
6045,Pacific
6047,Pacific
6049,Pacific
6051,Pacific
6053,Pacific
6055,Pacific
6057,Pacific
6059,Pacific
6061,Pacific
6063,Pacific
6065,Pacific
6067,Pacific
6069,Pacific
6071,Pacific
6073,Pacific
6075,Pacific
6077,Pacific
6079,Pacific
6081,Pacific
6083,Pacific
6085,Pacific
6087,Pacific
6089,Pacific
6091,Pacific
6093,Pacific
6095,Pacific
6097,Pacific
6099,Pacific
6101,Pacific
6103,Pacific
6105,Pacific
6107,Mountain
6109,Mountain
6111,Mountain
6113,Mountain
6115,Mountain
8001,Mountain
8003,Mountain
8005,Mountain
8007,Mountain
8009,Mountain
8011,Mountain
8013,Mountain
8014,Mountain
8015,Mountain
8017,Mountain
8019,Mountain
8021,Mountain
8023,Mountain
8025,Mountain
8027,Mountain
8029,Mountain
8031,Mountain
8033,Mountain
8035,Mountain
8037,Mountain
8039,Mountain
8041,Mountain
8043,Mountain
8045,Mountain
8047,Mountain
8049,Mountain
8051,Mountain
8053,Mountain
8055,Mountain
8057,Mountain
8059,Mountain
8061,Mountain
8063,Mountain
8065,Mountain
8067,Mountain
8069,Mountain
8071,Mountain
8073,Mountain
8075,Mountain
8077,Mountain
8079,Mountain
8081,Mountain
8083,Mountain
8085,Mountain
8087,Mountain
8089,Mountain
8091,Mountain
8093,Mountain
8095,Mountain
8097,Mountain
8099,Mountain
8101,Mountain
8103,Mountain
8105,Mountain
8107,Mountain
8109,Mountain
8111,Mountain
8113,Mountain
8115,Mountain
8117,New England
8119,New England
8121,New England
8123,New England
8125,New England
9001,New England
9003,New England
9005,New England
9007,South Atlantic
9009,South Atlantic
9011,South Atlantic
9013,South Atlantic
9015,South Atlantic
10001,South Atlantic
10003,South Atlantic
10005,South Atlantic
11001,South Atlantic
12001,South Atlantic
12003,South Atlantic
12005,South Atlantic
12007,South Atlantic
12009,South Atlantic
12011,South Atlantic
12013,South Atlantic
12015,South Atlantic
12017,South Atlantic
12019,South Atlantic
12021,South Atlantic
12023,South Atlantic
12027,South Atlantic
12029,South Atlantic
12031,South Atlantic
12033,South Atlantic
12035,South Atlantic
12037,South Atlantic
12039,South Atlantic
12041,South Atlantic
12043,South Atlantic
12045,South Atlantic
12047,South Atlantic
12049,South Atlantic
12051,South Atlantic
12053,South Atlantic
12055,South Atlantic
12057,South Atlantic
12059,South Atlantic
12061,South Atlantic
12063,South Atlantic
12065,South Atlantic
12067,South Atlantic
12069,South Atlantic
12071,South Atlantic
12073,South Atlantic
12075,South Atlantic
12077,South Atlantic
12079,South Atlantic
12081,South Atlantic
12083,South Atlantic
12085,South Atlantic
12086,South Atlantic
12087,South Atlantic
12089,South Atlantic
12091,South Atlantic
12093,South Atlantic
12095,South Atlantic
12097,South Atlantic
12099,South Atlantic
12101,South Atlantic
12103,South Atlantic
12105,South Atlantic
12107,South Atlantic
12109,South Atlantic
12111,South Atlantic
12113,South Atlantic
12115,South Atlantic
12117,South Atlantic
12119,South Atlantic
12121,South Atlantic
12123,South Atlantic
12125,South Atlantic
12127,South Atlantic
12129,South Atlantic
12131,South Atlantic
12133,South Atlantic
13001,South Atlantic
13003,South Atlantic
13005,South Atlantic
13007,South Atlantic
13009,South Atlantic
13011,South Atlantic
13013,South Atlantic
13015,South Atlantic
13017,South Atlantic
13019,South Atlantic
13021,South Atlantic
13023,South Atlantic
13025,South Atlantic
13027,South Atlantic
13029,South Atlantic
13031,South Atlantic
13033,South Atlantic
13035,South Atlantic
13037,South Atlantic
13039,South Atlantic
13043,South Atlantic
13045,South Atlantic
13047,South Atlantic
13049,South Atlantic
13051,South Atlantic
13053,South Atlantic
13055,South Atlantic
13057,South Atlantic
13059,South Atlantic
13061,South Atlantic
13063,South Atlantic
13065,South Atlantic
13067,South Atlantic
13069,South Atlantic
13071,South Atlantic
13073,South Atlantic
13075,South Atlantic
13077,South Atlantic
13079,South Atlantic
13081,South Atlantic
13083,South Atlantic
13085,South Atlantic
13087,South Atlantic
13089,South Atlantic
13091,South Atlantic
13093,South Atlantic
13095,South Atlantic
13097,South Atlantic
13099,South Atlantic
13101,South Atlantic
13103,South Atlantic
13105,South Atlantic
13107,South Atlantic
13109,South Atlantic
13111,South Atlantic
13113,South Atlantic
13115,South Atlantic
13117,South Atlantic
13119,South Atlantic
13121,South Atlantic
13123,South Atlantic
13125,South Atlantic
13127,South Atlantic
13129,South Atlantic
13131,South Atlantic
13133,South Atlantic
13135,South Atlantic
13137,South Atlantic
13139,South Atlantic
13141,South Atlantic
13143,South Atlantic
13145,South Atlantic
13147,South Atlantic
13149,South Atlantic
13151,South Atlantic
13153,South Atlantic
13155,South Atlantic
13157,South Atlantic
13159,South Atlantic
13161,South Atlantic
13163,South Atlantic
13165,South Atlantic
13167,South Atlantic
13169,South Atlantic
13171,South Atlantic
13173,South Atlantic
13175,South Atlantic
13177,South Atlantic
13179,South Atlantic
13181,South Atlantic
13183,South Atlantic
13185,South Atlantic
13187,South Atlantic
13189,South Atlantic
13191,South Atlantic
13193,South Atlantic
13195,South Atlantic
13197,South Atlantic
13199,South Atlantic
13201,South Atlantic
13205,South Atlantic
13207,South Atlantic
13209,South Atlantic
13211,South Atlantic
13213,South Atlantic
13215,South Atlantic
13217,South Atlantic
13219,South Atlantic
13221,South Atlantic
13223,South Atlantic
13225,South Atlantic
13227,South Atlantic
13229,South Atlantic
13231,South Atlantic
13233,South Atlantic
13235,South Atlantic
13237,South Atlantic
13239,South Atlantic
13241,South Atlantic
13243,South Atlantic
13245,South Atlantic
13247,South Atlantic
13249,South Atlantic
13251,South Atlantic
13253,South Atlantic
13255,South Atlantic
13257,South Atlantic
13259,South Atlantic
13261,South Atlantic
13263,South Atlantic
13265,South Atlantic
13267,South Atlantic
13269,South Atlantic
13271,South Atlantic
13273,South Atlantic
13275,South Atlantic
13277,South Atlantic
13279,South Atlantic
13281,South Atlantic
13283,South Atlantic
13285,South Atlantic
13287,South Atlantic
13289,South Atlantic
13291,South Atlantic
13293,South Atlantic
13295,South Atlantic
13297,South Atlantic
13299,South Atlantic
13301,South Atlantic
13303,South Atlantic
13305,South Atlantic
13307,South Atlantic
13309,South Atlantic
13311,South Atlantic
13313,Pacific
13315,Pacific
13317,Pacific
13319,Pacific
13321,Mountain
15001,Mountain
15003,Mountain
15007,Mountain
15009,Mountain
16001,Mountain
16003,Mountain
16005,Mountain
16007,Mountain
16009,Mountain
16011,Mountain
16013,Mountain
16015,Mountain
16017,Mountain
16019,Mountain
16021,Mountain
16023,Mountain
16025,Mountain
16027,Mountain
16029,Mountain
16031,Mountain
16033,Mountain
16035,Mountain
16037,Mountain
16039,Mountain
16041,Mountain
16043,Mountain
16045,Mountain
16047,Mountain
16049,Mountain
16051,Mountain
16053,Mountain
16055,Mountain
16057,Mountain
16059,Mountain
16061,Mountain
16063,Mountain
16065,Mountain
16067,Mountain
16069,Mountain
16071,Mountain
16073,Mountain
16075,Mountain
16077,Mountain
16079,East North Central
16081,East North Central
16083,East North Central
16085,East North Central
16087,East North Central
17001,East North Central
17003,East North Central
17005,East North Central
17007,East North Central
17009,East North Central
17011,East North Central
17013,East North Central
17015,East North Central
17017,East North Central
17019,East North Central
17021,East North Central
17023,East North Central
17025,East North Central
17027,East North Central
17029,East North Central
17031,East North Central
17033,East North Central
17035,East North Central
17037,East North Central
17039,East North Central
17041,East North Central
17043,East North Central
17045,East North Central
17047,East North Central
17049,East North Central
17051,East North Central
17053,East North Central
17055,East North Central
17057,East North Central
17059,East North Central
17061,East North Central
17063,East North Central
17065,East North Central
17067,East North Central
17069,East North Central
17071,East North Central
17073,East North Central
17075,East North Central
17077,East North Central
17079,East North Central
17081,East North Central
17083,East North Central
17085,East North Central
17087,East North Central
17089,East North Central
17091,East North Central
17093,East North Central
17095,East North Central
17097,East North Central
17099,East North Central
17101,East North Central
17103,East North Central
17105,East North Central
17107,East North Central
17109,East North Central
17111,East North Central
17113,East North Central
17115,East North Central
17117,East North Central
17119,East North Central
17121,East North Central
17123,East North Central
17125,East North Central
17127,East North Central
17129,East North Central
17131,East North Central
17133,East North Central
17135,East North Central
17137,East North Central
17139,East North Central
17141,East North Central
17143,East North Central
17145,East North Central
17147,East North Central
17149,East North Central
17151,East North Central
17153,East North Central
17155,East North Central
17157,East North Central
17159,East North Central
17161,East North Central
17163,East North Central
17165,East North Central
17167,East North Central
17169,East North Central
17171,East North Central
17173,East North Central
17175,East North Central
17177,East North Central
17179,East North Central
17181,East North Central
17183,East North Central
17185,East North Central
17187,East North Central
17189,East North Central
17191,East North Central
17193,East North Central
17195,East North Central
17197,East North Central
17199,East North Central
17201,East North Central
17203,East North Central
18001,East North Central
18003,East North Central
18005,East North Central
18007,East North Central
18009,East North Central
18011,East North Central
18013,East North Central
18015,East North Central
18017,East North Central
18019,East North Central
18021,East North Central
18023,East North Central
18025,East North Central
18027,East North Central
18029,East North Central
18031,East North Central
18033,East North Central
18035,East North Central
18037,East North Central
18039,East North Central
18041,East North Central
18043,East North Central
18045,East North Central
18047,East North Central
18049,East North Central
18051,East North Central
18053,East North Central
18055,East North Central
18057,East North Central
18059,East North Central
18061,East North Central
18063,East North Central
18065,East North Central
18067,East North Central
18069,East North Central
18071,East North Central
18073,East North Central
18075,East North Central
18077,East North Central
18079,East North Central
18081,East North Central
18083,East North Central
18085,East North Central
18087,East North Central
18089,East North Central
18091,East North Central
18093,East North Central
18095,East North Central
18097,East North Central
18099,East North Central
18101,East North Central
18103,East North Central
18105,East North Central
18107,East North Central
18109,East North Central
18111,East North Central
18113,East North Central
18115,East North Central
18117,East North Central
18119,East North Central
18121,East North Central
18123,East North Central
18125,East North Central
18127,East North Central
18129,East North Central
18131,East North Central
18133,East North Central
18135,East North Central
18137,East North Central
18139,East North Central
18141,East North Central
18143,East North Central
18145,East North Central
18147,East North Central
18149,East North Central
18151,East North Central
18153,East North Central
18155,East North Central
18157,East North Central
18159,East North Central
18161,East North Central
18163,East North Central
18165,East North Central
18167,East North Central
18169,East North Central
18171,East North Central
18173,East North Central
18175,West North Central
18177,West North Central
18179,West North Central
18181,West North Central
18183,West North Central
19001,West North Central
19003,West North Central
19005,West North Central
19007,West North Central
19009,West North Central
19011,West North Central
19013,West North Central
19015,West North Central
19017,West North Central
19019,West North Central
19021,West North Central
19023,West North Central
19025,West North Central
19027,West North Central
19029,West North Central
19031,West North Central
19033,West North Central
19035,West North Central
19037,West North Central
19039,West North Central
19041,West North Central
19043,West North Central
19045,West North Central
19047,West North Central
19049,West North Central
19051,West North Central
19053,West North Central
19055,West North Central
19057,West North Central
19059,West North Central
19061,West North Central
19063,West North Central
19065,West North Central
19067,West North Central
19069,West North Central
19071,West North Central
19073,West North Central
19075,West North Central
19077,West North Central
19079,West North Central
19081,West North Central
19083,West North Central
19085,West North Central
19087,West North Central
19089,West North Central
19091,West North Central
19093,West North Central
19095,West North Central
19097,West North Central
19099,West North Central
19101,West North Central
19103,West North Central
19105,West North Central
19107,West North Central
19109,West North Central
19111,West North Central
19113,West North Central
19115,West North Central
19117,West North Central
19119,West North Central
19121,West North Central
19123,West North Central
19125,West North Central
19127,West North Central
19129,West North Central
19131,West North Central
19133,West North Central
19135,West North Central
19137,West North Central
19139,West North Central
19141,West North Central
19143,West North Central
19145,West North Central
19147,West North Central
19149,West North Central
19151,West North Central
19153,West North Central
19155,West North Central
19157,West North Central
19159,West North Central
19161,West North Central
19163,West North Central
19165,West North Central
19167,West North Central
19169,West North Central
19171,West North Central
19173,West North Central
19175,West North Central
19177,West North Central
19179,West North Central
19181,West North Central
19183,West North Central
19185,West North Central
19187,West North Central
19189,West North Central
19191,West North Central
19193,West North Central
19195,West North Central
19197,West North Central
20001,West North Central
20003,West North Central
20005,West North Central
20007,West North Central
20009,West North Central
20011,West North Central
20013,West North Central
20015,West North Central
20017,West North Central
20019,West North Central
20021,West North Central
20023,West North Central
20025,West North Central
20027,West North Central
20029,West North Central
20031,West North Central
20033,West North Central
20035,West North Central
20037,West North Central
20039,West North Central
20041,West North Central
20043,West North Central
20045,West North Central
20047,West North Central
20049,West North Central
20051,West North Central
20053,West North Central
20055,West North Central
20057,West North Central
20059,West North Central
20061,West North Central
20063,West North Central
20065,West North Central
20067,West North Central
20069,West North Central
20071,West North Central
20073,West North Central
20075,West North Central
20077,West North Central
20079,West North Central
20081,West North Central
20083,West North Central
20085,West North Central
20087,West North Central
20089,West North Central
20091,West North Central
20093,West North Central
20095,West North Central
20097,West North Central
20099,West North Central
20101,West North Central
20103,West North Central
20105,West North Central
20107,West North Central
20109,West North Central
20111,West North Central
20113,West North Central
20115,West North Central
20117,West North Central
20119,West North Central
20121,West North Central
20123,West North Central
20125,West North Central
20127,West North Central
20129,West North Central
20131,West North Central
20133,West North Central
20135,West North Central
20137,West North Central
20139,West North Central
20141,West North Central
20143,West North Central
20145,West North Central
20147,West North Central
20149,West North Central
20151,West North Central
20153,West North Central
20155,West North Central
20157,West North Central
20159,West North Central
20161,West North Central
20163,West North Central
20165,West North Central
20167,West North Central
20169,West North Central
20171,West North Central
20173,West North Central
20175,West North Central
20177,West North Central
20179,West North Central
20181,West North Central
20183,West North Central
20185,West North Central
20187,West North Central
20189,West North Central
20191,West North Central
20193,West North Central
20195,West North Central
20197,West North Central
20199,West North Central
20201,East South Central
20203,East South Central
20205,East South Central
20207,East South Central
20209,East South Central
21001,East South Central
21003,East South Central
21005,East South Central
21007,East South Central
21009,East South Central
21011,East South Central
21013,East South Central
21015,East South Central
21017,East South Central
21019,East South Central
21021,East South Central
21023,East South Central
21025,East South Central
21027,East South Central
21029,East South Central
21031,East South Central
21033,East South Central
21035,East South Central
21037,East South Central
21039,East South Central
21041,East South Central
21043,East South Central
21045,East South Central
21047,East South Central
21049,East South Central
21051,East South Central
21053,East South Central
21055,East South Central
21057,East South Central
21059,East South Central
21061,East South Central
21063,East South Central
21065,East South Central
21067,East South Central
21069,East South Central
21071,East South Central
21073,East South Central
21075,East South Central
21077,East South Central
21079,East South Central
21081,East South Central
21083,East South Central
21085,East South Central
21087,East South Central
21089,East South Central
21091,East South Central
21093,East South Central
21095,East South Central
21097,East South Central
21099,East South Central
21101,East South Central
21103,East South Central
21105,East South Central
21107,East South Central
21109,East South Central
21111,East South Central
21113,East South Central
21115,East South Central
21117,East South Central
21119,East South Central
21121,East South Central
21123,East South Central
21125,East South Central
21127,East South Central
21129,East South Central
21131,East South Central
21133,East South Central
21135,East South Central
21137,East South Central
21139,East South Central
21141,East South Central
21143,East South Central
21145,East South Central
21147,East South Central
21149,East South Central
21151,East South Central
21153,East South Central
21155,East South Central
21157,East South Central
21159,East South Central
21161,East South Central
21163,East South Central
21165,East South Central
21167,East South Central
